Temat,Metoda,Odpowiedz
"Symbol, znaczenie i interpretacja",Vector (Qdrant),"Referent - rzecz, do której symbol się implicite odnosi, faktyczne znaczenie. Może być albo fizyczną rzeczą, albo dowolnie abstrakcyjną koncepcją. Symbol nie odnosi się do referenta wprost. Te rzeczy trzeba spoić ze sobą myślą, referencją. Służy ona za interpretator symbolu, za pomocą którego wywodzimy jego znaczenie. Innymi słowy, to narzędzie, żeby dojść do tego, ""co autor miał na myśli"". 1 Rozumienie języka jest trudne, bo trzeba posiadać takie mapowanie symbol-referent."
"Symbol, znaczenie i interpretacja",Hybryda (RRF),"Składa się on z trzech elementów:
Symbol: Fizyczna reprezentacja, np. znak drogowy, wyraz ""park"" (napis lub dźwięk). Referent (Odniesienie): Rzeczywisty obiekt lub zjawisko, do którego symbol się odnosi (np. fizyczny park, czynność parkowania). Myśl/Pojęcie (Szczyt trójkąta): Pośrednik między symbolem 
a referentem. Relacja między symbolem a referentem nie jest bezpośrednia (linia przerywana u podstawy trójkąta), lecz arbitralna 
i wymaga interpretacji przez użytkownika języka. Współczesne podejścia oparte na sieciach neuronowych (np."
"Symbol, znaczenie i interpretacja",Hybryda (RRF),"Referent - rzecz, do której symbol się implicite odnosi, faktyczne znaczenie. Może być albo fizyczną rzeczą, albo dowolnie abstrakcyjną koncepcją. Symbol nie odnosi się do referenta wprost. Te rzeczy trzeba spoić ze sobą myślą, referencją. Służy ona za interpretator symbolu, za pomocą którego wywodzimy jego znaczenie. Innymi słowy, to narzędzie, żeby dojść do tego, ""co autor miał na myśli"". 1 Rozumienie języka jest trudne, bo trzeba posiadać takie mapowanie symbol-referent."
"Symbol, znaczenie i interpretacja",Hybryda (RRF),"Opis znaczenia można przedstawić za pomocą trójkąta semiotycznego, składającego się z symbolu, odniesienia i pojęcia. Symbol nie łączy się bezpośrednio z odniesieniem; człowiek dokonuje interpretacji i odnosi symbole do rzeczywistości. Typowy model językowy nie jest ucieleśniony i nie posiada ciała, więc nie może bezpośrednio zakorzenić się w rzeczywistości i odnieść symbolu do fizycznego obiektu. Model operuje jedynie w obszarze konceptualno-symbolicznym."
"Symbol, znaczenie i interpretacja",Filtrowanie (Metadane),"Składa się on z trzech elementów:
Symbol: Fizyczna reprezentacja, np. znak drogowy, wyraz ""park"" (napis lub dźwięk). Referent (Odniesienie): Rzeczywisty obiekt lub zjawisko, do którego symbol się odnosi (np. fizyczny park, czynność parkowania). Myśl/Pojęcie (Szczyt trójkąta): Pośrednik między symbolem 
a referentem. Relacja między symbolem a referentem nie jest bezpośrednia (linia przerywana u podstawy trójkąta), lecz arbitralna 
i wymaga interpretacji przez użytkownika języka. Współczesne podejścia oparte na sieciach neuronowych (np."
"Symbol, znaczenie i interpretacja",Filtrowanie (Metadane),"Opis znaczenia można przedstawić za pomocą trójkąta semiotycznego, składającego się z symbolu, odniesienia i pojęcia. Symbol nie łączy się bezpośrednio z odniesieniem; człowiek dokonuje interpretacji i odnosi symbole do rzeczywistości. Typowy model językowy nie jest ucieleśniony i nie posiada ciała, więc nie może bezpośrednio zakorzenić się w rzeczywistości i odnieść symbolu do fizycznego obiektu. Model operuje jedynie w obszarze konceptualno-symbolicznym."
Struktura języka i reguły formalne,RegExp,"Z drugiej, użytkownicy są leniwi i często wpisują wszystko małymi literami, oczekując wyników niezależnie od pisowni. Ciekawostką są modele językowe (LLM). One muszą rozróżniać wielkość liter, aby generować poprawny gramatycznie tekst. Gdyby tego nie robiły, ""mówiłyby"" do nas tylko małymi literami. Jednak w systemach wyszukiwania semantycznego często ignoruje się wielkość liter, chyba że jest to kluczowe dla znaczenia (np. nazwy własne). Warto też pamiętać o pułapkach technicznych. W niektórych starszych lub źle zaprojektowanych systemach (np."
Struktura języka i reguły formalne,RegExp,"stary Ruby czy framework React Flow) operacje na wielkości liter mogą nie działać poprawnie dla języka polskiego, błędnie konwertując znaki diakrytyczne. Zawsze warto to testować. Problem 2: Fleksja
Język polski jest silnie fleksyjny. Odmieniamy wyrazy nieświadomie. Ale system informatyczny ""out of the box"" tego nie robi. Jeśli wpiszemy w wyszukiwarkę ""zdrowie"", czy powinna ona znaleźć dokumenty zawierające słowo ""zdrowia""? Oczywiście, że tak. Zrobiłem eksperyment w systemie ISAP (Internetowy System Aktów Prawnych)."
Struktura języka i reguły formalne,RegExp,"Wpisanie hasła ""zdrowie"" dało zaledwie 7 wyników. Wpisanie ""zdrowia"" (forma 
z dopełniacza, np. ""Minister Zdrowia"") dało ponad 500 wyników. To pokazuje, że nawet duże systemy państwowe mogą mieć wyszukiwarki, które nie obsługują polskiej fleksji. Dla takiego systemu ""zdrowie"" i ""zdrowia"" to dwa zupełnie różne napisy. Aby to obsłużyć, potrzebujemy narzędzi takich jak morfeusz, które potrafią generować i analizować formy fleksyjne. Słownik morfeusza zawiera miliony form wyrazowych."
Struktura języka i reguły formalne,BM25 (ES),"dla języków chińskiego i japońskiego Podział tekstu na zdania (segmentacja): -  modelowanie języka wymaga wskazania początku i końca zdania -  nie da się po prostu po kropkach, bo są ""np."" -  algorytmy: -- SRX - system regułowy do segmentacji tekstu oparty o reguły gramatyczne -- oparte o sieci neuronowe, np."
Struktura języka i reguły formalne,BM25 (ES),"Modyfikacje i wtrącenia: Użytkownicy języka są elastyczni i mogą wstawiać słowa pomiędzy człony wyrażenia (np. ""wirusowe kurczę zapalenie wątroby""). Sztywne reguły zakładające bezpośrednie sąsiedztwo słów mogą zawieść. Skrótowce i synonimy: Wyrażenie może być zastąpione skrótem (WZW) lub synonimem (żółtaczka). 4. Trójkąt semiotyczny
Aby uporządkować te problemy, warto odwołać się do trójkąta semiotycznego (model Ogdena i Richardsa)."
Struktura języka i reguły formalne,BM25 (ES),"Odwrócony indeks (inverted index) - struktura danych, indeks bazodanowy, w którym kluczami są tokeny, a wartościami dokumenty zawierające dany token."
Struktura języka i reguły formalne,Vector (Qdrant),"Opisuje języki klasy 3, czyli języki regularne (najwęższa klasa języków formalnych). Zalety i wady regexów: -  pozwalają na konstrukcję ogólnych wzorców dopasowujących się do tekstu -  pozwalają na uwzględnienie wariantów w pisowni, np. SA vs S.A."
Struktura języka i reguły formalne,Vector (Qdrant),"w klasyfikacji tekstów czy odkrywaniu tematów (topic modelling) -  wykrywanie słów kluczowych - oczekujemy zlematyzowanych form na wyjściu -  ekstrakcja informacji - zlematyzowane wyrazy są bardziej czytelne 7 Tagowanie morfosyntaktyczne Części mowy, kategorie gramatyczne, klasy fleksyjne Klasyfikacja części mowy: -  tradycyjna: -- ze względu na odmienność -- odmienne: rzeczownik, przymiotnik, czasownik, liczebnik, zaimek (niektóre), przysłówek -- nieodmienne: zaimek (niektóre), przyimek, spójnik, wykrzyknik, partykuła -  otwartość: -- ze względu na to, czy można tworzyć nowe wyrazy danej grupy -- otwarte: rzeczownik, przymiotnik, czasownik, przysłówek -- zamknięte: pozostałe Kategorie gramatyczne: -  używane w Narodowym Korpusie Języka Polskiego (NKJP) -  typ cech semantycznych słowa, cecha jego morfologii, np."
Struktura języka i reguły formalne,Vector (Qdrant),"-  złożona operacja, dwuetapowa: -- tagging - analiza morfosyntaktyczna zdania, analizuje słowa w kontekście, oznacza słowa ich częściami mowy -- wybór lematów zgodny z opisem morfologicznym -  działa niedeterministycznie (różne modele mogą dać różne wyniki) i wymaga kontekstu -  w przeciwieństwie do stemmingu daje zawsze poprawne słowa i skutkuje mniejszym słownikiem wynikowym (typowo pożądane), bo słowa o takim samym lemacie ""łączą"" się -  o wiele wolniejszy od stemmingu, wymaga GPU dla złożonych modeli -  można potraktować jak problem tłumaczenia maszynowego, wtedy ""tłumaczymy"" słowo z języka źródłowego na ""język"" lematów, wtedy może działać bezkontekstowo i nie wykorzystuje słownika morfosyntaktycznego (nie wymaga osobnego modelu języka) Zastosowania: -  wyszukiwanie pełnotekstowe - chcemy znaleźć też formy odmienione wyrazu (robimy: lematyzacja -> generacja odmian -> wyszukiwanie) -  zmniejszanie słownika - ważne np."
Struktura języka i reguły formalne,Hybryda (RRF),"dla języków chińskiego i japońskiego Podział tekstu na zdania (segmentacja): -  modelowanie języka wymaga wskazania początku i końca zdania -  nie da się po prostu po kropkach, bo są ""np."" -  algorytmy: -- SRX - system regułowy do segmentacji tekstu oparty o reguły gramatyczne -- oparte o sieci neuronowe, np."
Struktura języka i reguły formalne,Hybryda (RRF),"Magdalena Król: Przygotowałam materiał, który w sposób ukazujący szerokie spektrum omówi zadania związane z przetwarzaniem języka naturalnego, dotyczące semantyki i składni. Jeżeli będziecie mieć pytania, możecie je zadawać w każdym momencie. Semantyka i składnia to dwie podstawowe gałęzie lingwistyki, które zajmują obecnie kluczowe miejsce w rozwoju dużych modeli językowych, choć proces ten dzieje się niejako w tle. Każdy z nas, zajmując się przetwarzaniem języka naturalnego, bada język wyrażany za pomocą słów i innych środków wyrazu."
Struktura języka i reguły formalne,Hybryda (RRF),"""Nienawidzę cebuli"" -  cel określania - dzięki temu mamy precyzyjną definicję wzajemnych relacji słów w zdaniu i semantyki, którą te relacje opisują 42 Universal Dependencies Grammar: -  sposób uniwersalnego opisu języków, z dopuszczalnymi zmianami w obrębie języka jednostkowego (language specific extensions) -  dążymy do opisu języka (ogółem, każdego naraz) wspólną gramatyką -  założenia: -- opis języków jednostkowych -- odpowiedniość typologiczna -- odpowiedniość dla anotacji -- możliwość parsowania z dużą dokładnością -- intuicyjne rozumienie -- wsparcie analizy języka, np."
Struktura języka i reguły formalne,Filtrowanie (Metadane),"Magdalena Król: Przygotowałam materiał, który w sposób ukazujący szerokie spektrum omówi zadania związane z przetwarzaniem języka naturalnego, dotyczące semantyki i składni. Jeżeli będziecie mieć pytania, możecie je zadawać w każdym momencie. Semantyka i składnia to dwie podstawowe gałęzie lingwistyki, które zajmują obecnie kluczowe miejsce w rozwoju dużych modeli językowych, choć proces ten dzieje się niejako w tle. Każdy z nas, zajmując się przetwarzaniem języka naturalnego, bada język wyrażany za pomocą słów i innych środków wyrazu."
